Region,Year,Educational Attainment,Median Income
"Cowlitz, Pacific & Wahkiakum Counties PUMA; Washington!!Total!!Estimate",2015,Less than High School,18899.0
"Cowlitz, Pacific & Wahkiakum Counties PUMA; Washington!!Total!!Estimate",2015,High school,30253.0
"Cowlitz, Pacific & Wahkiakum Counties PUMA; Washington!!Total!!Estimate",2015,College,37229.0
"Cowlitz, Pacific & Wahkiakum Counties PUMA; Washington!!Total!!Estimate",2015,Bachelor,51533.0
"Cowlitz, Pacific & Wahkiakum Counties PUMA; Washington!!Total!!Estimate",2015,Graduate,52704.0
Grays Harbor & Mason Counties,2015,Less than High School,18931.0
Grays Harbor & Mason Counties,2015,High school,25315.0
Grays Harbor & Mason Counties,2015,College,31803.0
Grays Harbor & Mason Counties,2015,Bachelor,51182.0
Grays Harbor & Mason Counties,2015,Graduate,70273.0
Clallam & Jefferson Counties,2015,Less than High School,23194.0
Clallam & Jefferson Counties,2015,High school,30450.0
Clallam & Jefferson Counties,2015,College,30429.0
Clallam & Jefferson Counties,2015,Bachelor,26133.0
Clallam & Jefferson Counties,2015,Graduate,52140.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2015,Less than High School,61454.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2015,High school,91935.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2015,College,113804.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2015,Bachelor,155079.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2015,Graduate,197071.0
Clark County,2015,Less than High School,113105.0
Clark County,2015,High school,136377.0
Clark County,2015,College,148422.0
Clark County,2015,Bachelor,222799.0
Clark County,2015,Graduate,253704.0
King County,2015,Less than High School,301364.0
King County,2015,High school,356446.0
King County,2015,College,468146.0
King County,2015,Bachelor,733113.0
King County,2015,Graduate,865035.0
Kitsap County,2015,Less than High School,45990.0
Kitsap County,2015,High school,58576.0
Kitsap County,2015,College,76405.0
Kitsap County,2015,Bachelor,107694.0
Kitsap County,2015,Graduate,120150.0
Pierce County,2015,Less than High School,213952.0
Pierce County,2015,High school,236877.0
Pierce County,2015,College,275014.0
Pierce County,2015,Bachelor,350361.0
Pierce County,2015,Graduate,471977.0
Spokane County,2015,Less than High School,78809.0
Spokane County,2015,High school,104103.0
Spokane County,2015,College,120367.0
Spokane County,2015,Bachelor,172496.0
Spokane County,2015,Graduate,225103.0
Snohomish County,2015,Less than High School,151901.0
Snohomish County,2015,High school,225135.0
Snohomish County,2015,College,264039.0
Snohomish County,2015,Bachelor,361569.0
Snohomish County,2015,Graduate,457291.0
Thurston County,2015,Less than High School,55524.0
Thurston County,2015,High school,64664.0
Thurston County,2015,College,76193.0
Thurston County,2015,Bachelor,111131.0
Thurston County,2015,Graduate,131816.0
Yakima County,2015,Less than High School,43173.0
Yakima County,2015,High school,56643.0
Yakima County,2015,College,66246.0
Yakima County,2015,Bachelor,85647.0
Yakima County,2015,Graduate,124265.0
Washington,2017,Less than High School,25668.0
Washington,2017,High school,34196.0
Washington,2017,College,39947.0
Washington,2017,Bachelor,59662.0
Washington,2017,Graduate,76407.0
Whatcom County--Bellingham City,2017,Less than High School,30591.0
Whatcom County--Bellingham City,2017,High school,31988.0
Whatcom County--Bellingham City,2017,College,39332.0
Whatcom County--Bellingham City,2017,Bachelor,41786.0
Whatcom County--Bellingham City,2017,Graduate,68983.0
"Skajit, Island & San Juan Counties",2017,Less than High School,31385.0
"Skajit, Island & San Juan Counties",2017,High school,35817.0
"Skajit, Island & San Juan Counties",2017,College,34145.0
"Skajit, Island & San Juan Counties",2017,Bachelor,47257.0
"Skajit, Island & San Juan Counties",2017,Graduate,65100.0
Chelan & Douglas Counties,2017,Less than High School,25872.0
Chelan & Douglas Counties,2017,High school,27807.0
Chelan & Douglas Counties,2017,College,33322.0
Chelan & Douglas Counties,2017,Bachelor,45795.0
Chelan & Douglas Counties,2017,Graduate,65140.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties PUMA; Washington!!Total!!Estimate",2017,Less than High School,19366.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties PUMA; Washington!!Total!!Estimate",2017,High school,32315.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties PUMA; Washington!!Total!!Estimate",2017,College,27951.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties PUMA; Washington!!Total!!Estimate",2017,Bachelor,39012.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties PUMA; Washington!!Total!!Estimate",2017,Graduate,58487.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties PUMA; Washington!!Total!!Estimate",2017,Less than High School,20167.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties PUMA; Washington!!Total!!Estimate",2017,High school,29331.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties PUMA; Washington!!Total!!Estimate",2017,College,33171.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties PUMA; Washington!!Total!!Estimate",2017,Bachelor,43008.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties PUMA; Washington!!Total!!Estimate",2017,Graduate,50965.0
Grant & Kittitas Counties,2017,Less than High School,26419.0
Grant & Kittitas Counties,2017,High school,33552.0
Grant & Kittitas Counties,2017,College,36443.0
Grant & Kittitas Counties,2017,Bachelor,40951.0
Grant & Kittitas Counties,2017,Graduate,62272.0
"Lewis, Klickitat & Skamania Counties PUMA; Washington!!Total!!Estimate",2017,Less than High School,24874.0
"Lewis, Klickitat & Skamania Counties PUMA; Washington!!Total!!Estimate",2017,High school,31733.0
"Lewis, Klickitat & Skamania Counties PUMA; Washington!!Total!!Estimate",2017,College,31883.0
"Lewis, Klickitat & Skamania Counties PUMA; Washington!!Total!!Estimate",2017,Bachelor,36682.0
"Lewis, Klickitat & Skamania Counties PUMA; Washington!!Total!!Estimate",2017,Graduate,64205.0
"Cowlitz, Pacific & Wahkiakum Counties PUMA; Washington!!Total!!Estimate",2017,Less than High School,29016.0
"Cowlitz, Pacific & Wahkiakum Counties PUMA; Washington!!Total!!Estimate",2017,High school,31558.0
"Cowlitz, Pacific & Wahkiakum Counties PUMA; Washington!!Total!!Estimate",2017,College,29202.0
"Cowlitz, Pacific & Wahkiakum Counties PUMA; Washington!!Total!!Estimate",2017,Bachelor,42159.0
"Cowlitz, Pacific & Wahkiakum Counties PUMA; Washington!!Total!!Estimate",2017,Graduate,63229.0
Grays Harbor & Mason Counties,2017,Less than High School,21217.0
Grays Harbor & Mason Counties,2017,High school,36149.0
Grays Harbor & Mason Counties,2017,College,32998.0
Grays Harbor & Mason Counties,2017,Bachelor,37107.0
Grays Harbor & Mason Counties,2017,Graduate,61940.0
Clallam & Jefferson Counties,2017,Less than High School,17476.0
Clallam & Jefferson Counties,2017,High school,30287.0
Clallam & Jefferson Counties,2017,College,36212.0
Clallam & Jefferson Counties,2017,Bachelor,38057.0
Clallam & Jefferson Counties,2017,Graduate,50371.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2017,Less than High School,69540.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2017,High school,98926.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2017,College,114107.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2017,Bachelor,174467.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2017,Graduate,215585.0
Clark County,2017,Less than High School,123109.0
Clark County,2017,High school,139803.0
Clark County,2017,College,172470.0
Clark County,2017,Bachelor,249698.0
Clark County,2017,Graduate,279768.0
King County,2017,Less than High School,268773.0
King County,2017,High school,402124.0
King County,2017,College,494074.0
King County,2017,Bachelor,767153.0
King County,2017,Graduate,952895.0
Kitsap County,2017,Less than High School,71764.0
Kitsap County,2017,High school,63983.0
Kitsap County,2017,College,83458.0
Kitsap County,2017,Bachelor,110423.0
Kitsap County,2017,Graduate,151084.0
Pierce County,2017,Less than High School,214885.0
Pierce County,2017,High school,254665.0
Pierce County,2017,College,297669.0
Pierce County,2017,Bachelor,387193.0
Pierce County,2017,Graduate,475803.0
Spokane County,2017,Less than High School,86055.0
Spokane County,2017,High school,127504.0
Spokane County,2017,College,133425.0
Spokane County,2017,Bachelor,187458.0
Spokane County,2017,Graduate,268962.0
Snohomish County,2017,Less than High School,198606.0
Snohomish County,2017,High school,238518.0
Snohomish County,2017,College,265162.0
Snohomish County,2017,Bachelor,386569.0
Snohomish County,2017,Graduate,448789.0
Thurston County,2017,Less than High School,36869.0
Thurston County,2017,High school,71287.0
Thurston County,2017,College,79806.0
Thurston County,2017,Bachelor,103981.0
Thurston County,2017,Graduate,132653.0
Yakima County,2017,Less than High School,49005.0
Yakima County,2017,High school,57191.0
Yakima County,2017,College,67660.0
Yakima County,2017,Bachelor,93497.0
Yakima County,2017,Graduate,114139.0
Washington,2016,Less than High School,25151.0
Washington,2016,High school,32077.0
Washington,2016,College,37295.0
Washington,2016,Bachelor,58262.0
Washington,2016,Graduate,72335.0
Whatcom County--Bellingham City,2016,Less than High School,30993.0
Whatcom County--Bellingham City,2016,High school,35391.0
Whatcom County--Bellingham City,2016,College,32483.0
Whatcom County--Bellingham City,2016,Bachelor,40925.0
Whatcom County--Bellingham City,2016,Graduate,65254.0
"Skajit, Island & San Juan Counties",2016,Less than High School,23234.0
"Skajit, Island & San Juan Counties",2016,High school,32342.0
"Skajit, Island & San Juan Counties",2016,College,36466.0
"Skajit, Island & San Juan Counties",2016,Bachelor,46030.0
"Skajit, Island & San Juan Counties",2016,Graduate,60197.0
Chelan & Douglas Counties,2016,Less than High School,20887.0
Chelan & Douglas Counties,2016,High school,27306.0
Chelan & Douglas Counties,2016,College,37142.0
Chelan & Douglas Counties,2016,Bachelor,40218.0
Chelan & Douglas Counties,2016,Graduate,62721.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties PUMA; Washington!!Total!!Estimate",2016,Less than High School,23607.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties PUMA; Washington!!Total!!Estimate",2016,High school,26692.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties PUMA; Washington!!Total!!Estimate",2016,College,35375.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties PUMA; Washington!!Total!!Estimate",2016,Bachelor,47450.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties PUMA; Washington!!Total!!Estimate",2016,Graduate,63171.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties PUMA; Washington!!Total!!Estimate",2016,Less than High School,21832.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties PUMA; Washington!!Total!!Estimate",2016,High school,31623.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties PUMA; Washington!!Total!!Estimate",2016,College,31466.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties PUMA; Washington!!Total!!Estimate",2016,Bachelor,38152.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties PUMA; Washington!!Total!!Estimate",2016,Graduate,42147.0
Grant & Kittitas Counties,2016,Less than High School,25803.0
Grant & Kittitas Counties,2016,High school,27298.0
Grant & Kittitas Counties,2016,College,31594.0
Grant & Kittitas Counties,2016,Bachelor,31761.0
Grant & Kittitas Counties,2016,Graduate,65157.0
"Lewis, Klickitat & Skamania Counties PUMA; Washington!!Total!!Estimate",2016,Less than High School,21732.0
"Lewis, Klickitat & Skamania Counties PUMA; Washington!!Total!!Estimate",2016,High school,30809.0
"Lewis, Klickitat & Skamania Counties PUMA; Washington!!Total!!Estimate",2016,College,31472.0
"Lewis, Klickitat & Skamania Counties PUMA; Washington!!Total!!Estimate",2016,Bachelor,34919.0
"Lewis, Klickitat & Skamania Counties PUMA; Washington!!Total!!Estimate",2016,Graduate,55744.0
"Cowlitz, Pacific & Wahkiakum Counties PUMA; Washington!!Total!!Estimate",2016,Less than High School,22301.0
"Cowlitz, Pacific & Wahkiakum Counties PUMA; Washington!!Total!!Estimate",2016,High school,33129.0
"Cowlitz, Pacific & Wahkiakum Counties PUMA; Washington!!Total!!Estimate",2016,College,30593.0
"Cowlitz, Pacific & Wahkiakum Counties PUMA; Washington!!Total!!Estimate",2016,Bachelor,47999.0
"Cowlitz, Pacific & Wahkiakum Counties PUMA; Washington!!Total!!Estimate",2016,Graduate,64299.0
Grays Harbor & Mason Counties,2016,Less than High School,12469.0
Grays Harbor & Mason Counties,2016,High school,26925.0
Grays Harbor & Mason Counties,2016,College,28419.0
Grays Harbor & Mason Counties,2016,Bachelor,47148.0
Grays Harbor & Mason Counties,2016,Graduate,49881.0
Clallam & Jefferson Counties,2016,Less than High School,18210.0
Clallam & Jefferson Counties,2016,High school,31232.0
Clallam & Jefferson Counties,2016,College,31810.0
Clallam & Jefferson Counties,2016,Bachelor,38591.0
Clallam & Jefferson Counties,2016,Graduate,45548.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2016,Less than High School,67139.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2016,High school,90827.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2016,College,109303.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2016,Bachelor,180505.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2016,Graduate,202856.0
Clark County,2016,Less than High School,129604.0
Clark County,2016,High school,135533.0
Clark County,2016,College,151592.0
Clark County,2016,Bachelor,228627.0
Clark County,2016,Graduate,270683.0
King County,2016,Less than High School,281787.0
King County,2016,High school,397959.0
King County,2016,College,479449.0
King County,2016,Bachelor,757965.0
King County,2016,Graduate,911296.0
Kitsap County,2016,Less than High School,49720.0
Kitsap County,2016,High school,68501.0
Kitsap County,2016,College,78452.0
Kitsap County,2016,Bachelor,107987.0
Kitsap County,2016,Graduate,137940.0
Pierce County,2016,Less than High School,185613.0
Pierce County,2016,High school,244930.0
Pierce County,2016,College,281747.0
Pierce County,2016,Bachelor,375562.0
Pierce County,2016,Graduate,495275.0
Spokane County,2016,Less than High School,107429.0
Spokane County,2016,High school,117706.0
Spokane County,2016,College,126950.0
Spokane County,2016,Bachelor,186223.0
Spokane County,2016,Graduate,230284.0
Snohomish County,2016,Less than High School,181875.0
Snohomish County,2016,High school,221331.0
Snohomish County,2016,College,265043.0
Snohomish County,2016,Bachelor,376912.0
Snohomish County,2016,Graduate,465404.0
Thurston County,2016,Less than High School,55940.0
Thurston County,2016,High school,59015.0
Thurston County,2016,College,76996.0
Thurston County,2016,Bachelor,110568.0
Thurston County,2016,Graduate,126501.0
Yakima County,2016,Less than High School,44857.0
Yakima County,2016,High school,60802.0
Yakima County,2016,College,64474.0
Yakima County,2016,Bachelor,90331.0
Yakima County,2016,Graduate,127628.0
